Side,Rank_type,Metric,Value
head,optimistic,z_geometric_mean_rank,19.143828372588562
tail,optimistic,z_geometric_mean_rank,19.235996232991994
both,optimistic,z_geometric_mean_rank,27.130756686637515
head,realistic,z_geometric_mean_rank,19.143828109586593
tail,realistic,z_geometric_mean_rank,19.23599621231312
both,realistic,z_geometric_mean_rank,27.130756563408053
head,pessimistic,z_geometric_mean_rank,19.14382778416728
tail,pessimistic,z_geometric_mean_rank,19.235996199590055
both,pessimistic,z_geometric_mean_rank,27.130756415447568
head,optimistic,inverse_geometric_mean_rank,0.045903533416438165
tail,optimistic,inverse_geometric_mean_rank,0.1516676320585985
both,optimistic,inverse_geometric_mean_rank,0.08343908086978143
head,realistic,inverse_geometric_mean_rank,0.045903440564870834
tail,realistic,inverse_geometric_mean_rank,0.1516675502061844
both,realistic,inverse_geometric_mean_rank,0.08343897759914398
head,pessimistic,inverse_geometric_mean_rank,0.04590332909602404
tail,pessimistic,inverse_geometric_mean_rank,0.15166750467793566
both,pessimistic,inverse_geometric_mean_rank,0.08343886013365742
head,optimistic,count,368.0
tail,optimistic,count,368.0
both,optimistic,count,736.0
head,realistic,count,368.0
tail,realistic,count,368.0
both,realistic,count,736.0
head,pessimistic,count,368.0
tail,pessimistic,count,368.0
both,pessimistic,count,736.0
head,optimistic,z_inverse_harmonic_mean_rank,365.7365960360645
tail,optimistic,z_inverse_harmonic_mean_rank,632.7195270614293
both,optimistic,z_inverse_harmonic_mean_rank,705.7317846594467
head,realistic,z_inverse_harmonic_mean_rank,365.73659413505584
tail,realistic,z_inverse_harmonic_mean_rank,632.719554103882
both,realistic,z_inverse_harmonic_mean_rank,705.7317730051464
head,pessimistic,z_inverse_harmonic_mean_rank,365.73658587909443
tail,pessimistic,z_inverse_harmonic_mean_rank,632.7195266987252
both,pessimistic,z_inverse_harmonic_mean_rank,705.7317772105579
head,optimistic,inverse_harmonic_mean_rank,0.2636524154480673
tail,optimistic,inverse_harmonic_mean_rank,0.4539353653967026
both,optimistic,inverse_harmonic_mean_rank,0.3587938904223849
head,realistic,inverse_harmonic_mean_rank,0.26365241408348083
tail,realistic,inverse_harmonic_mean_rank,0.45393538475036616
both,realistic,inverse_harmonic_mean_rank,0.35879388451576233
head,pessimistic,inverse_harmonic_mean_rank,0.26365240815716734
tail,pessimistic,inverse_harmonic_mean_rank,0.45393536513712357
both,pessimistic,inverse_harmonic_mean_rank,0.35879388664714545
head,optimistic,adjusted_geometric_mean_rank_index,0.9934546580265498
tail,optimistic,adjusted_geometric_mean_rank_index,0.9982491415272894
both,optimistic,adjusted_geometric_mean_rank_index,0.9965488284457344
head,realistic,adjusted_geometric_mean_rank_index,0.9934546443782594
tail,realistic,adjusted_geometric_mean_rank_index,0.9982491404541622
both,realistic,adjusted_geometric_mean_rank_index,0.9965488239193523
head,pessimistic,adjusted_geometric_mean_rank_index,0.9934546274908673
tail,pessimistic,adjusted_geometric_mean_rank_index,0.9982491397939006
both,pessimistic,adjusted_geometric_mean_rank_index,0.9965488184845666
head,optimistic,geometric_mean_rank,21.784815363296143
tail,optimistic,geometric_mean_rank,6.5933646251801346
both,optimistic,geometric_mean_rank,11.984791653693339
head,realistic,geometric_mean_rank,21.78485870361328
tail,realistic,geometric_mean_rank,6.593368053436279
both,realistic,geometric_mean_rank,11.984806060791016
head,pessimistic,geometric_mean_rank,21.784912329738102
tail,pessimistic,geometric_mean_rank,6.593370162735185
both,pessimistic,geometric_mean_rank,11.984823359261373
head,optimistic,median_absolute_deviation,30.39334547936484
tail,optimistic,median_absolute_deviation,2.965204437011204
both,optimistic,median_absolute_deviation,8.895613311033612
head,realistic,median_absolute_deviation,30.39334547936484
