subject,predicate,object
visual-cardVisual_M,hasSize,M
visual-cardVisual_M,hasType,visual-cardVisual
CAR Insurance Analysis,belongTo,visual-cardVisual_M
visual-cardVisual_M,hasSize,M
visual-cardVisual_M,hasType,visual-cardVisual
CAR Insurance Analysis,belongTo,visual-cardVisual_M
visual-cardVisual_M,hasSize,M
visual-cardVisual_M,hasType,visual-cardVisual
CAR Insurance Analysis,belongTo,visual-cardVisual_M
visual-cardVisual_M,hasSize,M
visual-cardVisual_M,hasType,visual-cardVisual
CAR Insurance Analysis,belongTo,visual-cardVisual_M
visual-clusteredBarChart_M,hasSize,M
visual-clusteredBarChart_M,hasType,visual-clusteredBarChart
CAR Insurance Analysis,belongTo,visual-clusteredBarChart_M
visual-clusteredBarChart_M,hasSize,M
visual-clusteredBarChart_M,hasType,visual-clusteredBarChart
CAR Insurance Analysis,belongTo,visual-clusteredBarChart_M
visual-clusteredBarChart_M,hasSize,M
visual-clusteredBarChart_M,hasType,visual-clusteredBarChart
CAR Insurance Analysis,belongTo,visual-clusteredBarChart_M
visual-lineStackedColumnComboChart_S,hasSize,S
visual-lineStackedColumnComboChart_S,hasType,visual-lineStackedColumnComboChart
CAR Insurance Analysis,belongTo,visual-lineStackedColumnComboChart_S
visual-lineStackedColumnComboChart_M,hasSize,M
visual-lineStackedColumnComboChart_M,hasType,visual-lineStackedColumnComboChart
CAR Insurance Analysis,belongTo,visual-lineStackedColumnComboChart_M
visual-lineClusteredColumnComboChart_S,hasSize,S
visual-lineClusteredColumnComboChart_S,hasType,visual-lineClusteredColumnComboChart
CAR Insurance Analysis,belongTo,visual-lineClusteredColumnComboChart_S
visual-areaChart_L,hasSize,L
visual-areaChart_L,hasType,visual-areaChart
CAR Insurance Analysis,belongTo,visual-areaChart_L
visual-TornadoChart_0,hasSize,0
visual-TornadoChart_0,hasType,visual-TornadoChart
CAR Insurance Analysis,belongTo,visual-TornadoChart_0
visual-clusteredBarChart_M,hasSize,M
visual-clusteredBarChart_M,hasType,visual-clusteredBarChart
CAR Insurance Analysis,belongTo,visual-clusteredBarChart_M
visual-clusteredBarChart_S,hasSize,S
visual-clusteredBarChart_S,hasType,visual-clusteredBarChart
CAR Insurance Analysis,belongTo,visual-clusteredBarChart_S
visual-hundredPercentStackedBarChart_L,hasSize,L
visual-hundredPercentStackedBarChart_L,hasType,visual-hundredPercentStackedBarChart
Sales Opportunity Pipeline Summary,belongTo,visual-hundredPercentStackedBarChart_L
visual-donutChart_S,hasSize,S
visual-donutChart_S,hasType,visual-donutChart
Global terrorism report,belongTo,visual-donutChart_S
visual-donutChart_S,hasSize,S
visual-donutChart_S,hasType,visual-donutChart
Global terrorism report,belongTo,visual-donutChart_S
visual-donutChart_S,hasSize,S
visual-donutChart_S,hasType,visual-donutChart
Global terrorism report,belongTo,visual-donutChart_S
visual-barChart_L,hasSize,L
visual-barChart_L,hasType,visual-barChart
Global terrorism report,belongTo,visual-barChart_L
visual-map_0,hasSize,0
visual-map_0,hasType,visual-map
Global terrorism report,belongTo,visual-map_0
visual-lineChart_L,hasSize,L
visual-lineChart_L,hasType,visual-lineChart
Global terrorism report,belongTo,visual-lineChart_L
visual-lineChart_L,hasSize,L
visual-lineChart_L,hasType,visual-lineChart
Global terrorism report,belongTo,visual-lineChart_L
visual-shapeMap_0,hasSize,0
visual-shapeMap_0,hasType,visual-shapeMap
COVID-19 Report in Nigeria,belongTo,visual-shapeMap_0
visual-clusteredBarChart_L,hasSize,L
visual-clusteredBarChart_L,hasType,visual-clusteredBarChart
COVID-19 Report in Nigeria,belongTo,visual-clusteredBarChart_L
visual-clusteredBarChart_L,hasSize,L
visual-clusteredBarChart_L,hasType,visual-clusteredBarChart
COVID-19 Report in Nigeria,belongTo,visual-clusteredBarChart_L
visual-pivotTable_0,hasSize,0
visual-pivotTable_0,hasType,visual-pivotTable
COVID-19 Report in Nigeria,belongTo,visual-pivotTable_0
visual-multiRowCard_0,hasSize,0
visual-multiRowCard_0,hasType,visual-multiRowCard
Sales Dashboard,belongTo,visual-multiRowCard_0
visual-multiRowCard_0,hasSize,0
visual-multiRowCard_0,hasType,visual-multiRowCard
Sales Dashboard,belongTo,visual-multiRowCard_0
visual-multiRowCard_0,hasSize,0
visual-multiRowCard_0,hasType,visual-multiRowCard
Sales Dashboard,belongTo,visual-multiRowCard_0
visual-multiRowCard_0,hasSize,0
visual-multiRowCard_0,hasType,visual-multiRowCard
Sales Dashboard,belongTo,visual-multiRowCard_0
visual-barChart_L,hasSize,L
visual-barChart_L,hasType,visual-barChart
Sales Dashboard,belongTo,visual-barChart_L
visual-areaChart_L,hasSize,L
visual-areaChart_L,hasType,visual-areaChart
Sales Dashboard,belongTo,visual-areaChart_L
visual-columnChart_L,hasSize,L
visual-columnChart_L,hasType,visual-columnChart
Sales Dashboard,belongTo,visual-columnChart_L
visual-map_0,hasSize,0
visual-map_0,hasType,visual-map
Sales Dashboard,belongTo,visual-map_0
visual-pivotTable_0,hasSize,0
visual-pivotTable_0,hasType,visual-pivotTable
Sales Dashboard,belongTo,visual-pivotTable_0
visual-pieChart_0,hasSize,0
visual-pieChart_0,hasType,visual-pieChart
YouTube Channel Analytics,belongTo,visual-pieChart_0
visual-donutChart_0,hasSize,0
visual-donutChart_0,hasType,visual-donutChart
YouTube Channel Analytics,belongTo,visual-donutChart_0
visual-pivotTable_0,hasSize,0
visual-pivotTable_0,hasType,visual-pivotTable
YouTube Channel Analytics,belongTo,visual-pivotTable_0
visual-clusteredColumnChart_L,hasSize,L
visual-clusteredColumnChart_L,hasType,visual-clusteredColumnChart
YouTube Channel Analytics,belongTo,visual-clusteredColumnChart_L
visual-lineStackedColumnComboChart_L,hasSize,L
visual-lineStackedColumnComboChart_L,hasType,visual-lineStackedColumnComboChart
🏥 Pulse of Healing: Navigating Hospital Flows Globally,belongTo,visual-lineStackedColumnComboChart_L
visual-donutChart_0,hasSize,0
visual-donutChart_0,hasType,visual-donutChart
🏥 Pulse of Healing: Navigating Hospital Flows Globally,belongTo,visual-donutChart_0
visual-lineChart_L,hasSize,L
visual-lineChart_L,hasType,visual-lineChart
🏥 Pulse of Healing: Navigating Hospital Flows Globally,belongTo,visual-lineChart_L
visual-funnel_0,hasSize,0
